,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
wirelessDelay(1),0.12705302238464355,0.0,2,0.40500664710998535,0.0,2
wirelessDelay(2),8.206847667694092,0.0,2,15.514917612075806,0.0,2
wirelessDelay(3),38.92689371109009,0.0,2,78.45135283470154,0.0,2
wirelessDelay(4),200.26413488388062,0.0,2,413.47094774246216,0.0,2
wirelessDelay(5),455.57354283332825,0.0,2,918.0764491558075,0.0,2
wirelessDelay(6),691.707065820694,0.0,2,1440.4112360477448,0.0,2
wirelessDelay(7),938.4656901359558,0.0,2,1918.9834072589874,0.0,2
wirelessDelay(8),1191.1848225593567,0.0,2,2425.5893602371216,0.0,2
wirelessDelay(9),1448.805748462677,0.0,2,2944.875930070877,0.0,2
wirelessDelay(10),1681.6710531711578,0.0,2,3515.304360151291,0.0,2
