horizon,gametype,SOTA,iterations,time,number_of_beliefs,leader values,follower values,density
1,cooperative,Stackelberg,1,0.029430866241455078,4,-1.0,[-1. -1.],0.2
1,cooperative,State of the Art,1,0.00011205673217773438,4,-1.0,[-1. -1.],0.2
1,cooperative,Stackelberg,2,0.011879920959472656,4,-1.0,[-1. -1.],0.04
1,cooperative,State of the Art,2,0.0001049041748046875,4,-1.0,[-1. -1.],0.04
1,zerosum,Stackelberg,1,0.01743173599243164,4,-9.0625,[ 4.375 13.75 ],0.2
1,zerosum,State of the Art,1,0.01980280876159668,4,-9.0625,[ 4.375 13.75 ],0.2
1,zerosum,Stackelberg,2,0.01708817481994629,4,-9.0625,[ 4.375 13.75 ],0.04
1,zerosum,State of the Art,2,0.019962072372436523,4,-9.0625,[ 4.375 13.75 ],0.04
1,generalsum,Stackelberg,1,0.015355110168457031,4,-5.5,[0. 3.],0.2
1,generalsum,State of the Art,1,0.014847993850708008,4,-5.5,[0. 3.],0.2
1,generalsum,Stackelberg,2,0.016253232955932617,4,-5.5,[0. 3.],0.04
1,generalsum,State of the Art,2,0.014718055725097656,4,-5.5,[0. 3.],0.04
2,cooperative,Stackelberg,1,0.06855297088623047,4,0.06625000000000014,[ 2.335  -2.2025],0.2
2,cooperative,State of the Art,1,0.0005900859832763672,4,0.06625000000000014,[ 2.335  -2.2025],0.2
2,cooperative,Stackelberg,2,0.06760597229003906,6,0.06625000000000014,[ 2.335  -2.2025],0.04
2,cooperative,State of the Art,2,0.0005753040313720703,6,0.06625000000000014,[ 2.335  -2.2025],0.04
2,zerosum,Stackelberg,1,0.08068990707397461,4,-17.875482110618744,[11.94039266 23.81057156],0.2
2,zerosum,State of the Art,1,0.09950518608093262,4,-17.875482110618744,[11.94039266 23.81057156],0.2
2,zerosum,Stackelberg,2,0.08539080619812012,6,-17.875482110618744,[11.94039266 23.81057156],0.04
2,zerosum,State of the Art,2,0.10459089279174805,6,-17.875482110618744,[11.94039266 23.81057156],0.04
2,generalsum,Stackelberg,1,0.08177399635314941,4,-8.83804347826087,[-0.23478261  4.5       ],0.2
2,generalsum,State of the Art,1,0.0833139419555664,4,-8.83804347826087,[-0.23478261  4.5       ],0.2
2,generalsum,Stackelberg,2,0.07751989364624023,6,-8.83804347826087,[-0.23478261  4.5       ],0.04
2,generalsum,State of the Art,2,0.07442903518676758,6,-8.83804347826087,[-0.23478261  4.5       ],0.04
