gametype,SOTA,horizon,iterations,time,number_of_beliefs,leader values,follower values,density
cooperative,Stackelberg,1,2,"[0.12620973587036133, 0.11086273193359375]",2,"[-1.0, -1.0]","[array([-1., -1., -1., -1., -1., -1., -1., -1.]), array([-1., -1., -1., -1., -1., -1., -1., -1.])]",0.05
cooperative,Stackelberg,2,2,"[1.105912685394287, 1.2628905773162842]",11,"[10.625, 10.625]","[array([99., -2., -2., -2., -2., -2., -2., -2.]), array([99., -2., -2., -2., -2., -2., -2., -2.])]",0.05
cooperative,Stackelberg,3,2,"[4.372725486755371, 4.544405221939087]",25,"[9.625, 9.625]","[array([98., -3., -3., -3., -3., -3., -3., -3.]), array([98., -3., -3., -3., -3., -3., -3., -3.])]",0.05
cooperative,Stackelberg,4,2,"[11.10248875617981, 12.731380701065063]",66,"[21.25, 21.25]","[array([198.,  -4.,  -4.,  -4.,  -4.,  -4.,  -4.,  -4.]), array([198.,  -4.,  -4.,  -4.,  -4.,  -4.,  -4.,  -4.])]",0.05
cooperative,Stackelberg,5,2,"[30.012930870056152, 30.57612919807434]",141,"[20.25, 20.25]","[array([197.,  -5.,  -5.,  -5.,  -5.,  -5.,  -5.,  -5.]), array([197.,  -5.,  -5.,  -5.,  -5.,  -5.,  -5.,  -5.])]",0.05
cooperative,Stackelberg,6,2,"[59.98730134963989, 61.360061168670654]",216,"[31.875, 31.875]","[array([297.,  -6.,  -6.,  -6.,  -6.,  -6.,  -6.,  -6.]), array([297.,  -6.,  -6.,  -6.,  -6.,  -6.,  -6.,  -6.])]",0.05
cooperative,Stackelberg,7,2,"[100.4503424167633, 101.16175198554993]",255,"[30.87500437499999, 30.87500437499999]","[array([296.      ,  -6.999995,  -6.999995,  -6.999995,  -6.999995,
        -6.999995,  -6.999995,  -6.999995]), array([296.      ,  -6.999995,  -6.999995,  -6.999995,  -6.999995,
        -6.999995,  -6.999995,  -6.999995])]",0.05
cooperative,Stackelberg,8,2,"[138.5791826248169, 138.49687266349792]",257,"[42.50000437499999, 42.50000437499999]","[array([396.      ,  -7.999995,  -7.999995,  -7.999995,  -7.999995,
        -7.999995,  -7.999995,  -7.999995]), array([396.      ,  -7.999995,  -7.999995,  -7.999995,  -7.999995,
        -7.999995,  -7.999995,  -7.999995])]",0.05
cooperative,Stackelberg,9,2,"[177.51600432395935, 185.67523622512817]",257,"[41.50000437499999, 41.50000437499999]","[array([395.      ,  -8.999995,  -8.999995,  -8.999995,  -8.999995,
        -8.999995,  -8.999995,  -8.999995]), array([395.      ,  -8.999995,  -8.999995,  -8.999995,  -8.999995,
        -8.999995,  -8.999995,  -8.999995])]",0.05
cooperative,Stackelberg,10,2,"[219.1042182445526, 220.2493839263916]",257,"[53.12500437499999, 53.12500437499999]","[array([495.      ,  -9.999995,  -9.999995,  -9.999995,  -9.999995,
        -9.999995,  -9.999995,  -9.999995]), array([495.      ,  -9.999995,  -9.999995,  -9.999995,  -9.999995,
        -9.999995,  -9.999995,  -9.999995])]",0.05
cooperative,State of the Art,1,2,"[0.001065969467163086, 0.0008008480072021484]",2,"[-1.0, -1.0]","[array([-1., -1., -1., -1., -1., -1., -1., -1.]), array([-1., -1., -1., -1., -1., -1., -1., -1.])]",0.05
cooperative,State of the Art,2,2,"[0.02651381492614746, 0.02664923667907715]",11,"[10.625, 10.625]","[array([-1., -1., -1., -1., -1., -1., -1., -1.]), array([-1., -1., -1., -1., -1., -1., -1., -1.])]",0.05
cooperative,State of the Art,3,2,"[0.2191905975341797, 0.20785188674926758]",25,"[9.625, 9.625]","[array([-1., -1., -1., -1., -1., -1., -1., -1.]), array([-1., -1., -1., -1., -1., -1., -1., -1.])]",0.05
cooperative,State of the Art,4,2,"[0.7239823341369629, 0.7303154468536377]",66,"[21.25, 21.25]","[array([-1., -1., -1., -1., -1., -1., -1., -1.]), array([-1., -1., -1., -1., -1., -1., -1., -1.])]",0.05
cooperative,State of the Art,5,2,"[2.6515252590179443, 2.664443254470825]",141,"[20.25, 20.25]","[array([-1., -1., -1., -1., -1., -1., -1., -1.]), array([-1., -1., -1., -1., -1., -1., -1., -1.])]",0.05
cooperative,State of the Art,6,2,"[7.740864276885986, 7.75486159324646]",216,"[31.875, 31.875]","[array([-1., -1., -1., -1., -1., -1., -1., -1.]), array([-1., -1., -1., -1., -1., -1., -1., -1.])]",0.05
cooperative,State of the Art,7,2,"[15.662207126617432, 15.717636346817017]",255,"[30.875, 30.875]","[array([-1., -1., -1., -1., -1., -1., -1., -1.]), array([-1., -1., -1., -1., -1., -1., -1., -1.])]",0.05
cooperative,State of the Art,8,2,"[24.214142560958862, 23.87605881690979]",257,"[42.5, 42.5]","[array([-1., -1., -1., -1., -1., -1., -1., -1.]), array([-1., -1., -1., -1., -1., -1., -1., -1.])]",0.05
cooperative,State of the Art,9,2,"[31.808590412139893, 31.690285682678223]",257,"[41.5, 41.5]","[array([-1., -1., -1., -1., -1., -1., -1., -1.]), array([-1., -1., -1., -1., -1., -1., -1., -1.])]",0.05
cooperative,State of the Art,10,2,"[39.04190182685852, 38.992082834243774]",257,"[53.125, 53.125]","[array([-1., -1., -1., -1., -1., -1., -1., -1.]), array([-1., -1., -1., -1., -1., -1., -1., -1.])]",0.05
zerosum,Stackelberg,1,2,"[0.19871020317077637, 0.16460728645324707]",2,"[-91.72240802675586, -91.72240802675586]","[array([ 33.77926421, 100.        , 100.        , 100.        ,
       100.        , 100.        , 100.        , 100.        ]), array([ 33.77926421, 100.        , 100.        , 100.        ,
       100.        , 100.        , 100.        , 100.        ])]",0.05
zerosum,Stackelberg,2,2,"[1.5326898097991943, 1.3974173069000244]",11,"[-183.44481605351172, -183.44481605351172]","[array([ 67.55852843, 200.        , 200.        , 200.        ,
       200.        , 200.        , 200.        , 200.        ]), array([ 67.55852843, 200.        , 200.        , 200.        ,
       200.        , 200.        , 200.        , 200.        ])]",0.05
zerosum,Stackelberg,3,2,"[4.266378402709961, 4.358914136886597]",25,"[-276.63774391121524, -276.63774391121524]","[array([113.10195129, 300.        , 300.        , 300.        ,
       300.        , 300.        , 300.        , 300.        ]), array([113.10195129, 300.        , 300.        , 300.        ,
       300.        , 300.        , 300.        , 300.        ])]",0.05
zerosum,Stackelberg,4,2,"[10.937688112258911, 13.303503513336182]",66,"[-369.4143700601349, -369.4143700601349]","[array([155.31496048, 400.        , 400.        , 400.        ,
       400.        , 400.        , 400.        , 400.        ]), array([155.31496048, 400.        , 400.        , 400.        ,
       400.        , 400.        , 400.        , 400.        ])]",0.05
zerosum,Stackelberg,5,2,"[29.337738275527954, 29.385766744613647]",141,"[-462.0568966667093, -462.0568966667093]","[array([196.45517333, 500.        , 500.        , 500.        ,
       500.        , 500.        , 500.        , 500.        ]), array([196.45517333, 500.        , 500.        , 500.        ,
       500.        , 500.        , 500.        , 500.        ])]",0.05
zerosum,Stackelberg,6,2,"[59.24103903770447, 56.14240741729736]",216,"[-554.8121349619403, -554.8121349619403]","[array([238.4970797, 600.       , 600.       , 600.       , 600.       ,
       600.       , 600.       , 600.       ]), array([238.4970797, 600.       , 600.       , 600.       , 600.       ,
       600.       , 600.       , 600.       ])]",0.05
zerosum,Stackelberg,7,2,"[94.42175579071045, 94.48939108848572]",255,"[-647.5573624861818, -647.5573624861818]","[array([280.45889989, 700.        , 700.        , 700.        ,
       700.        , 700.        , 700.        , 700.        ]), array([280.45889989, 700.        , 700.        , 700.        ,
       700.        , 700.        , 700.        , 700.        ])]",0.05
zerosum,Stackelberg,8,2,"[130.2858362197876, 132.38632726669312]",257,"[-740.2860410396122, -740.2860410396122]","[array([322.28832832, 800.        , 800.        , 800.        ,
       800.        , 800.        , 800.        , 800.        ]), array([322.28832832, 800.        , 800.        , 800.        ,
       800.        , 800.        , 800.        , 800.        ])]",0.05
zerosum,Stackelberg,9,2,"[245.00437688827515, 297.9412806034088]",257,"[-833.0213296059666, -833.0213296059666]","[array([364.17063685, 900.        , 900.        , 900.        ,
       900.        , 900.        , 900.        , 900.        ]), array([364.17063685, 900.        , 900.        , 900.        ,
       900.        , 900.        , 900.        , 900.        ])]",0.05
zerosum,Stackelberg,10,2,"[371.1904287338257, 362.9548530578613]",257,"[-925.7575350001906, -925.7575350001906]","[array([ 406.06028, 1000.     , 1000.     , 1000.     , 1000.     ,
       1000.     , 1000.     , 1000.     ]), array([ 406.06028, 1000.     , 1000.     , 1000.     , 1000.     ,
       1000.     , 1000.     , 1000.     ])]",0.05
zerosum,State of the Art,1,2,"[0.06328487396240234, 0.05547022819519043]",2,"[-91.72240802675586, -91.72240802675586]","[array([ 33.77926421, 100.        , 100.        , 100.        ,
       100.        , 100.        , 100.        , 100.        ]), array([ 33.77926421, 100.        , 100.        , 100.        ,
       100.        , 100.        , 100.        , 100.        ])]",0.05
zerosum,State of the Art,2,2,"[0.6194667816162109, 0.65401291847229]",11,"[-183.44481605351172, -183.44481605351172]","[array([ 33.77926421, 100.        , 100.        , 100.        ,
       100.        , 100.        , 100.        , 100.        ]), array([ 33.77926421, 100.        , 100.        , 100.        ,
       100.        , 100.        , 100.        , 100.        ])]",0.05
zerosum,State of the Art,3,2,"[1.9844341278076172, 1.9833736419677734]",25,"[-275.1672240802676, -275.1672240802676]","[array([ 33.77926421, 100.        , 100.        , 100.        ,
       100.        , 100.        , 100.        , 100.        ]), array([ 33.77926421, 100.        , 100.        , 100.        ,
       100.        , 100.        , 100.        , 100.        ])]",0.05
zerosum,State of the Art,4,2,"[5.857107877731323, 6.1484925746917725]",66,"[-368.02619580227645, -368.02619580227645]","[array([ 33.16127808, 100.        , 100.        , 100.        ,
       100.        , 100.        , 100.        , 100.        ]), array([ 33.16127808, 100.        , 100.        , 100.        ,
       100.        , 100.        , 100.        , 100.        ])]",0.05
zerosum,State of the Art,5,2,"[15.288712501525879, 15.255867958068848]",141,"[-460.2563824208411, -460.2563824208411]","[array([ 33.65591399, 100.        , 100.        , 100.        ,
       100.        , 100.        , 100.        , 100.        ]), array([ 33.65591399, 100.        , 100.        , 100.        ,
       100.        , 100.        , 100.        , 100.        ])]",0.05
zerosum,State of the Art,6,2,"[31.4482843875885, 31.650312423706055]",216,"[-552.7859536216342, -552.7859536216342]","[array([ 33.46758069, 100.        , 100.        , 100.        ,
       100.        , 100.        , 100.        , 100.        ]), array([ 33.46758069, 100.        , 100.        , 100.        ,
       100.        , 100.        , 100.        , 100.        ])]",0.05
zerosum,State of the Art,7,2,"[53.14750814437866, 53.55668497085571]",255,"[-644.8715529046617, -644.8715529046617]","[array([ 33.71615948, 100.        , 100.        , 100.        ,
       100.        , 100.        , 100.        , 100.        ]), array([ 33.71615948, 100.        , 100.        , 100.        ,
       100.        , 100.        , 100.        , 100.        ])]",0.05
zerosum,State of the Art,8,2,"[74.50519323348999, 75.18083095550537]",257,"[-737.493124432282, -737.493124432282]","[array([ 33.39248021, 100.        , 100.        , 100.        ,
       100.        , 100.        , 100.        , 100.        ]), array([ 33.39248021, 100.        , 100.        , 100.        ,
       100.        , 100.        , 100.        , 100.        ])]",0.05
