horizon,gametype,SOTA,iterations,time,number_of_beliefs,leader values,follower values,density
1,cooperative,Stackelberg,1,0.02511906623840332,0,1.0000000000000002,[0. 1. 0. 1.],0.2
1,cooperative,State of the Art,1,0.00016379356384277344,0,1.0000000000000002,[0. 1. 0. 1.],0.2
1,cooperative,Stackelberg,2,0.015141010284423828,0,1.0000000000000002,[0. 1. 0. 1.],0.04
1,cooperative,State of the Art,2,0.00016927719116210938,0,1.0000000000000002,[0. 1. 0. 1.],0.04
1,cooperative,Stackelberg,3,0.012848138809204102,0,1.0000000000000002,[0. 1. 0. 1.],0.008
1,cooperative,State of the Art,3,0.0001518726348876953,0,1.0000000000000002,[0. 1. 0. 1.],0.008
1,zerosum,Stackelberg,1,0.015661001205444336,0,0.5,[ 0.   0.   0.  -0.5],0.2
1,zerosum,State of the Art,1,0.02255082130432129,0,0.5,[ 0.   0.  -0.5 -0.5],0.2
1,zerosum,Stackelberg,2,0.019887924194335938,0,0.5,[ 0.   0.   0.  -0.5],0.04
1,zerosum,State of the Art,2,0.026220083236694336,0,0.5,[ 0.   0.  -0.5 -0.5],0.04
1,zerosum,Stackelberg,3,0.023946046829223633,0,0.5,[ 0.   0.   0.  -0.5],0.008
1,zerosum,State of the Art,3,0.020978212356567383,0,0.5,[ 0.   0.  -0.5 -0.5],0.008
1,generalsum,Stackelberg,1,0.013779878616333008,0,2.0,[0. 0. 1. 1.],0.2
1,generalsum,State of the Art,1,0.035980224609375,0,2.0,[0. 0. 1. 1.],0.2
1,generalsum,Stackelberg,2,0.012562036514282227,0,2.0,[0. 0. 1. 1.],0.04
1,generalsum,State of the Art,2,0.015183210372924805,0,2.0,[0. 0. 1. 1.],0.04
1,generalsum,Stackelberg,3,0.01677989959716797,0,2.0,[0. 0. 1. 1.],0.008
1,generalsum,State of the Art,3,0.014447212219238281,0,2.0,[0. 0. 1. 1.],0.008
2,cooperative,Stackelberg,1,0.0781409740447998,0,2.0,[0.9 1.9 1.  2. ],0.2
2,cooperative,State of the Art,1,0.002062082290649414,0,2.0,[0.9 1.9 1.  2. ],0.2
2,cooperative,Stackelberg,2,0.08850288391113281,0,2.0,[0.9 1.9 1.  2. ],0.04
2,cooperative,State of the Art,2,0.002199888229370117,0,2.0,[0.9 1.9 1.  2. ],0.04
2,cooperative,Stackelberg,3,0.10878801345825195,0,2.0,[0.9 1.9 1.  2. ],0.008
2,cooperative,State of the Art,3,0.0022161006927490234,0,2.0,[0.9 1.9 1.  2. ],0.008
2,zerosum,Stackelberg,1,0.09042882919311523,0,0.7672634271099743,[-0.045      -0.45       -0.04859335 -0.76726343],0.2
2,zerosum,State of the Art,1,0.1090087890625,0,0.7672634271099745,[-0.45       -0.45       -0.76726343 -0.76726343],0.2
2,zerosum,Stackelberg,2,0.12210488319396973,0,0.7672634271099743,[-0.045      -0.45       -0.04859335 -0.76726343],0.04
2,zerosum,State of the Art,2,0.11811685562133789,0,0.7672634271099745,[-0.45       -0.45       -0.76726343 -0.76726343],0.04
2,zerosum,Stackelberg,3,0.13550209999084473,0,0.7672634271099743,[-0.045      -0.45       -0.04859335 -0.76726343],0.008
2,zerosum,State of the Art,3,0.13937616348266602,0,0.7672634271099745,[-0.45       -0.45       -0.76726343 -0.76726343],0.008
2,generalsum,Stackelberg,1,0.061441898345947266,0,3.7,[0.9 0.9 1.9 1.9],0.2
2,generalsum,State of the Art,1,0.16927528381347656,0,3.7,[0.9 0.9 1.9 1.9],0.2
2,generalsum,Stackelberg,2,0.10625100135803223,0,3.7,[0.9 0.9 1.9 1.9],0.04
2,generalsum,State of the Art,2,0.08803915977478027,0,3.7,[0.9 0.9 1.9 1.9],0.04
2,generalsum,Stackelberg,3,0.10081791877746582,0,3.7,[0.9 0.9 1.9 1.9],0.008
