horizon,gametype,SOTA,iterations,time,number_of_beliefs,leader values,follower values,density
1,cooperative,Stackelberg,1,0.0294950008392334,3,9.0,[9. 9.],0.2
1,cooperative,State of the Art,1,0.00015616416931152344,3,9.0,[9. 9.],0.2
1,cooperative,Stackelberg,2,0.01727294921875,3,9.0,[9. 9.],0.04
1,cooperative,State of the Art,2,0.00013208389282226562,3,9.0,[9. 9.],0.04
1,cooperative,Stackelberg,3,0.016733169555664062,3,9.0,[9. 9.],0.008
1,cooperative,State of the Art,3,0.00014019012451171875,3,9.0,[9. 9.],0.008
1,zerosum,Stackelberg,1,0.018435239791870117,3,-75.0,[65.9375 84.0625],0.2
1,zerosum,State of the Art,1,0.020529747009277344,3,-75.0,[84.0625 65.9375],0.2
1,zerosum,Stackelberg,2,0.015722036361694336,3,-75.0,[65.9375 84.0625],0.04
1,zerosum,State of the Art,2,0.021890878677368164,3,-75.0,[84.0625 65.9375],0.04
1,zerosum,Stackelberg,3,0.07797002792358398,3,-75.0,[65.9375 84.0625],0.008
1,zerosum,State of the Art,3,0.04259991645812988,3,-75.0,[84.0625 65.9375],0.008
1,generalsum,Stackelberg,1,0.032534122467041016,3,30.0,[ 70. -15.],0.2
1,generalsum,State of the Art,1,0.0167849063873291,3,30.0,[ 70. -15.],0.2
1,generalsum,Stackelberg,2,0.013153076171875,3,30.0,[ 70. -15.],0.04
1,generalsum,State of the Art,2,0.012537002563476562,3,30.0,[ 70. -15.],0.04
1,generalsum,Stackelberg,3,0.01389312744140625,3,30.0,[ 70. -15.],0.008
1,generalsum,State of the Art,3,0.013295173645019531,3,30.0,[ 70. -15.],0.008
2,cooperative,Stackelberg,1,0.06211209297180176,3,18.0,[18. 18.],0.2
2,cooperative,State of the Art,1,0.0010039806365966797,3,18.0,[18. 18.],0.2
2,cooperative,Stackelberg,2,0.06555914878845215,3,18.0,[18. 18.],0.04
2,cooperative,State of the Art,2,0.0009930133819580078,3,18.0,[18. 18.],0.04
2,cooperative,Stackelberg,3,0.06482100486755371,4,18.0,[18. 18.],0.008
2,cooperative,State of the Art,3,0.001035928726196289,4,18.0,[18. 18.],0.008
2,zerosum,Stackelberg,1,0.0833442211151123,3,-150.0,[159.0625 140.9375],0.2
2,zerosum,State of the Art,1,0.08098578453063965,3,-150.0,[159.0625 140.9375],0.2
2,zerosum,Stackelberg,2,0.07232999801635742,3,-150.0,[159.0625 140.9375],0.04
2,zerosum,State of the Art,2,0.08208417892456055,3,-150.0,[159.0625 140.9375],0.04
2,zerosum,Stackelberg,3,0.07308077812194824,4,-150.0,[159.0625 140.9375],0.008
2,zerosum,State of the Art,3,0.07720422744750977,4,-150.0,[159.0625 140.9375],0.008
2,generalsum,Stackelberg,1,0.05358290672302246,3,60.0,[97.5 12.5],0.2
2,generalsum,State of the Art,1,0.06396913528442383,3,60.0,[97.5 12.5],0.2
2,generalsum,Stackelberg,2,0.058014869689941406,3,60.0,[97.5 12.5],0.04
2,generalsum,State of the Art,2,0.055854082107543945,3,60.0,[97.5 12.5],0.04
2,generalsum,Stackelberg,3,0.056876182556152344,4,60.0,[97.5 12.5],0.008
2,generalsum,State of the Art,3,0.07459616661071777,4,60.0,[97.5 12.5],0.008
3,cooperative,Stackelberg,1,0.11173009872436523,3,27.0,[27. 27.],0.2
3,cooperative,State of the Art,1,0.003242969512939453,3,27.0,[27. 27.],0.2
3,cooperative,Stackelberg,2,0.12994885444641113,4,27.0,[27. 27.],0.04
3,cooperative,State of the Art,2,0.0032629966735839844,4,27.0,[27. 27.],0.04
3,cooperative,Stackelberg,3,0.12904095649719238,4,27.0,[27. 27.],0.008
3,cooperative,State of the Art,3,0.0033369064331054688,4,27.0,[27. 27.],0.008
3,zerosum,Stackelberg,1,0.16373920440673828,3,-225.0,[234.0625 215.9375],0.2
3,zerosum,State of the Art,1,0.16276311874389648,3,-225.0,[215.9375 234.0625],0.2
3,zerosum,Stackelberg,2,0.20722723007202148,4,-225.0,[234.0625 215.9375],0.04
3,zerosum,State of the Art,2,0.18801307678222656,4,-225.0,[215.9375 234.0625],0.04
3,zerosum,Stackelberg,3,0.18233323097229004,4,-225.0,[234.0625 215.9375],0.008
3,zerosum,State of the Art,3,0.2775399684906006,4,-225.0,[215.9375 234.0625],0.008
3,generalsum,Stackelberg,1,0.13386917114257812,3,90.0,[125.  40.],0.2
3,generalsum,State of the Art,1,0.12843585014343262,3,90.0,[125.  40.],0.2
3,generalsum,Stackelberg,2,0.13937902450561523,4,90.0,[125.  40.],0.04
3,generalsum,State of the Art,2,0.12660908699035645,4,90.0,[125.  40.],0.04
3,generalsum,Stackelberg,3,0.12078213691711426,4,90.0,[125.  40.],0.008
3,generalsum,State of the Art,3,0.1161341667175293,4,90.0,[125.  40.],0.008
4,cooperative,Stackelberg,1,0.17237091064453125,3,36.0,[36. 36.],0.2
4,cooperative,State of the Art,1,0.007783174514770508,3,36.0,[36. 36.],0.2
4,cooperative,Stackelberg,2,0.2182159423828125,4,36.0,[36. 36.],0.04
4,cooperative,State of the Art,2,0.006294965744018555,4,36.0,[36. 36.],0.04
4,cooperative,Stackelberg,3,0.2215132713317871,4,36.0,[36. 36.],0.008
4,cooperative,State of the Art,3,0.006346940994262695,4,36.0,[36. 36.],0.008
4,zerosum,Stackelberg,1,0.29199695587158203,3,-300.0,[309.0625 290.9375],0.2
4,zerosum,State of the Art,1,0.23746776580810547,3,-300.0,[290.9375 309.0625],0.2
4,zerosum,Stackelberg,2,0.2583959102630615,4,-300.0,[309.0625 290.9375],0.04
4,zerosum,State of the Art,2,0.3036689758300781,4,-300.0,[290.9375 309.0625],0.04
4,zerosum,Stackelberg,3,0.25335192680358887,4,-300.0,[309.0625 290.9375],0.008
4,zerosum,State of the Art,3,0.3501765727996826,4,-300.0,[290.9375 309.0625],0.008
4,generalsum,Stackelberg,1,0.1713111400604248,3,120.0,[152.5  67.5],0.2
4,generalsum,State of the Art,1,0.1654059886932373,3,120.0,[152.5  67.5],0.2
4,generalsum,Stackelberg,2,0.18962478637695312,4,120.0,[152.5  67.5],0.04
4,generalsum,State of the Art,2,0.2121422290802002,4,120.0,[152.5  67.5],0.04
4,generalsum,Stackelberg,3,0.1931450366973877,4,120.0,[152.5  67.5],0.008
4,generalsum,State of the Art,3,0.21047186851501465,4,120.0,[152.5  67.5],0.008
5,cooperative,Stackelberg,1,0.23327279090881348,3,45.0,[45. 45.],0.2
5,cooperative,State of the Art,1,0.007856130599975586,3,45.0,[45. 45.],0.2
5,cooperative,Stackelberg,2,0.24751901626586914,3,45.0,[45. 45.],0.04
5,cooperative,State of the Art,2,0.008476018905639648,3,45.0,[45. 45.],0.04
5,cooperative,Stackelberg,3,0.3290708065032959,3,45.0,[45. 45.],0.008
5,cooperative,State of the Art,3,0.00750422477722168,3,45.0,[45. 45.],0.008
5,zerosum,Stackelberg,1,0.2882120609283447,3,-375.0,[384.0625 365.9375],0.2
5,zerosum,State of the Art,1,0.3039369583129883,3,-375.0,[384.0625 365.9375],0.2
5,zerosum,Stackelberg,2,0.2795388698577881,3,-375.0,[384.0625 365.9375],0.04
5,zerosum,State of the Art,2,0.29857301712036133,3,-375.0,[384.0625 365.9375],0.04
5,zerosum,Stackelberg,3,0.28223109245300293,3,-375.0,[384.0625 365.9375],0.008
5,zerosum,State of the Art,3,0.2916440963745117,3,-375.0,[384.0625 365.9375],0.008
5,generalsum,Stackelberg,1,0.27934718132019043,3,150.0,[180.  95.],0.2
5,generalsum,State of the Art,1,0.30694007873535156,3,150.0,[180.  95.],0.2
5,generalsum,Stackelberg,2,0.2357778549194336,3,150.0,[180.  95.],0.04
5,generalsum,State of the Art,2,0.22991108894348145,3,150.0,[180.  95.],0.04
5,generalsum,Stackelberg,3,0.24065685272216797,3,150.0,[180.  95.],0.008
5,generalsum,State of the Art,3,0.22342896461486816,3,150.0,[180.  95.],0.008
6,cooperative,Stackelberg,1,0.29456186294555664,3,54.0,[54. 54.],0.2
6,cooperative,State of the Art,1,0.009918928146362305,3,54.0,[54. 54.],0.2
6,cooperative,Stackelberg,2,0.47574806213378906,3,54.0,[54. 54.],0.04
6,cooperative,State of the Art,2,0.01002812385559082,3,54.0,[54. 54.],0.04
6,cooperative,Stackelberg,3,0.44376587867736816,5,54.0,[54. 54.],0.008
6,cooperative,State of the Art,3,0.014714717864990234,5,54.0,[54. 54.],0.008
6,zerosum,Stackelberg,1,0.36097216606140137,3,-450.0,[459.0625 440.9375],0.2
6,zerosum,State of the Art,1,0.37656092643737793,3,-450.0,[459.0625 440.9375],0.2
6,zerosum,Stackelberg,2,0.3553290367126465,3,-450.0,[459.0625 440.9375],0.04
6,zerosum,State of the Art,2,0.4556260108947754,3,-450.0,[459.0625 440.9375],0.04
6,zerosum,Stackelberg,3,0.5274367332458496,5,-450.0,[459.0625 440.9375],0.008
6,zerosum,State of the Art,3,0.5659818649291992,5,-450.0,[459.0625 440.9375],0.008
6,generalsum,Stackelberg,1,0.29291701316833496,3,180.0,[207.5 122.5],0.2
6,generalsum,State of the Art,1,0.44562196731567383,3,180.0,[207.5 122.5],0.2
