horizon,gametype,SOTA,iterations,time,number_of_beliefs,leader values,follower values,density
1,cooperative,State of the Art,2,0.0004451274871826172,2,0.0,[0.],0.05
1,cooperative,Stackelberg,2,0.016722917556762695,2,0.0,[0.],0.05
1,cooperative,State of the Art,3,8.296966552734375e-05,2,0.0,[0.],0.05
1,cooperative,Stackelberg,3,0.00808405876159668,2,0.0,[0.],0.05
1,cooperative,State of the Art,4,9.012222290039062e-05,2,0.0,[0.],0.05
1,cooperative,Stackelberg,4,0.008393049240112305,2,0.0,[0.],0.05
1,zerosum,State of the Art,2,0.013035774230957031,2,-5.0,[5.],0.05
1,zerosum,Stackelberg,2,0.00941324234008789,2,-5.0,[5.],0.05
1,zerosum,State of the Art,3,0.014200925827026367,2,-5.0,[5.],0.05
1,zerosum,Stackelberg,3,0.008694171905517578,2,-5.0,[5.],0.05
1,zerosum,State of the Art,4,0.014072179794311523,2,-5.0,[5.],0.05
1,zerosum,Stackelberg,4,0.00824117660522461,2,-5.0,[5.],0.05
1,generalsum,State of the Art,2,0.01017904281616211,2,-6.538461538461538,[-6.92307692],0.05
1,generalsum,Stackelberg,2,0.010987997055053711,2,-6.538461538461538,[-6.92307692],0.05
1,generalsum,State of the Art,3,0.02277684211730957,2,-6.538461538461538,[-6.92307692],0.05
1,generalsum,Stackelberg,3,0.012690305709838867,2,-6.538461538461538,[-6.92307692],0.05
1,generalsum,State of the Art,4,0.013323068618774414,2,-6.538461538461538,[-6.92307692],0.05
1,generalsum,Stackelberg,4,0.010626077651977539,2,-6.538461538461538,[-6.92307692],0.05
2,cooperative,State of the Art,2,0.00019097328186035156,2,0.0,[0.],0.05
2,cooperative,Stackelberg,2,0.025356054306030273,2,0.0,[0.],0.05
2,cooperative,State of the Art,3,0.00016999244689941406,2,0.0,[0.],0.05
2,cooperative,Stackelberg,3,0.026601076126098633,2,0.0,[0.],0.05
2,cooperative,State of the Art,4,0.00016188621520996094,2,0.0,[0.],0.05
2,cooperative,Stackelberg,4,0.02566218376159668,2,0.0,[0.],0.05
2,zerosum,State of the Art,2,0.043367862701416016,2,-10.0,[10.],0.05
2,zerosum,Stackelberg,2,0.05405688285827637,2,-10.0,[10.],0.05
2,zerosum,State of the Art,3,0.05354595184326172,2,-10.0,[10.],0.05
2,zerosum,Stackelberg,3,0.02820110321044922,2,-10.0,[10.],0.05
2,zerosum,State of the Art,4,0.042142391204833984,2,-10.0,[10.],0.05
2,zerosum,Stackelberg,4,0.026965856552124023,2,-10.0,[10.],0.05
2,generalsum,State of the Art,2,0.03713393211364746,2,-6.846153846153846,[-13.84615385],0.05
2,generalsum,Stackelberg,2,0.03364300727844238,2,-6.846153846153846,[-13.84615385],0.05
2,generalsum,State of the Art,3,0.03712105751037598,2,-6.846153846153846,[-13.84615385],0.05
2,generalsum,Stackelberg,3,0.039343833923339844,2,-6.846153846153846,[-13.84615385],0.05
2,generalsum,State of the Art,4,0.036261796951293945,2,-6.846153846153846,[-13.84615385],0.05
2,generalsum,Stackelberg,4,0.037468910217285156,2,-6.846153846153846,[-13.84615385],0.05
3,cooperative,State of the Art,2,0.00026988983154296875,2,0.0,[0.],0.05
3,cooperative,Stackelberg,2,0.04169583320617676,2,0.0,[0.],0.05
3,cooperative,State of the Art,3,0.0002751350402832031,2,0.0,[0.],0.05
3,cooperative,Stackelberg,3,0.04430127143859863,2,0.0,[0.],0.05
3,cooperative,State of the Art,4,0.0002722740173339844,2,0.0,[0.],0.05
3,cooperative,Stackelberg,4,0.04275989532470703,2,0.0,[0.],0.05
3,zerosum,State of the Art,2,0.07146382331848145,2,-15.0,[15.],0.05
3,zerosum,Stackelberg,2,0.043788909912109375,2,-15.0,[15.],0.05
3,zerosum,State of the Art,3,0.07186722755432129,2,-15.0,[15.],0.05
3,zerosum,Stackelberg,3,0.043686866760253906,2,-15.0,[15.],0.05
3,zerosum,State of the Art,4,0.07086300849914551,2,-15.0,[15.],0.05
3,zerosum,Stackelberg,4,0.0425262451171875,2,-15.0,[15.],0.05
3,generalsum,State of the Art,2,0.06407880783081055,2,-7.153846153846153,[-20.76923077],0.05
3,generalsum,Stackelberg,2,0.07101202011108398,2,-7.153846153846153,[-20.76923077],0.05
3,generalsum,State of the Art,3,0.07801318168640137,2,-7.153846153846153,[-20.76923077],0.05
3,generalsum,Stackelberg,3,0.06541800498962402,2,-7.153846153846153,[-20.76923077],0.05
3,generalsum,State of the Art,4,0.06525993347167969,2,-7.153846153846153,[-20.76923077],0.05
3,generalsum,Stackelberg,4,0.0612330436706543,2,-7.153846153846153,[-20.76923077],0.05
