gametype,SOTA,horizon,iterations,time,number_of_beliefs,leader values,follower values,density
cooperative,Stackelberg,1,3,"[0.014934062957763672, 0.013827800750732422, 0.010776042938232422]",3,"[0.0, 0.0, 0.0]","[array([0.]), array([0.]), array([0.])]",1e-05
cooperative,Stackelberg,2,3,"[0.05925607681274414, 0.033064842224121094, 0.03637886047363281]",3,"[0.0, 0.0, 0.0]","[array([0.]), array([0.]), array([0.])]",1e-05
cooperative,Stackelberg,3,3,"[0.06093192100524902, 0.06003284454345703, 0.06187009811401367]",3,"[0.0, 0.0, 0.0]","[array([0.]), array([0.]), array([0.])]",1e-05
cooperative,Stackelberg,4,3,"[0.08534598350524902, 0.08534502983093262, 0.10558581352233887]",3,"[0.0, 0.0, 0.0]","[array([0.]), array([0.]), array([0.])]",1e-05
cooperative,Stackelberg,5,3,"[0.11208009719848633, 0.10689592361450195, 0.10441708564758301]",3,"[0.0, 0.0, 0.0]","[array([0.]), array([0.]), array([0.])]",1e-05
cooperative,State of the Art,1,3,"[0.0002758502960205078, 0.00017786026000976562, 0.00017309188842773438]",3,"[0.0, 0.0, 0.0]","[array([0.]), array([0.]), array([0.])]",1e-05
cooperative,State of the Art,2,3,"[0.00047206878662109375, 0.0005209445953369141, 0.0004611015319824219]",3,"[0.0, 0.0, 0.0]","[array([0.]), array([0.]), array([0.])]",1e-05
cooperative,State of the Art,3,3,"[0.0007181167602539062, 0.0007951259613037109, 0.0007789134979248047]",3,"[0.0, 0.0, 0.0]","[array([0.]), array([0.]), array([0.])]",1e-05
cooperative,State of the Art,4,3,"[0.001051187515258789, 0.00107574462890625, 0.001096963882446289]",3,"[0.0, 0.0, 0.0]","[array([0.]), array([0.]), array([0.])]",1e-05
cooperative,State of the Art,5,3,"[0.0014462471008300781, 0.0013499259948730469, 0.0012669563293457031]",3,"[0.0, 0.0, 0.0]","[array([0.]), array([0.]), array([0.])]",1e-05
zerosum,Stackelberg,1,3,"[0.010647058486938477, 0.01296687126159668, 0.011427164077758789]",3,"[-5.0, -5.0, -5.0]","[array([5.]), array([5.]), array([5.])]",1e-05
zerosum,Stackelberg,2,3,"[0.03412580490112305, 0.03423881530761719, 0.037719011306762695]",3,"[-10.0, -10.0, -10.0]","[array([10.]), array([10.]), array([10.])]",1e-05
zerosum,Stackelberg,3,3,"[0.053648948669433594, 0.07010984420776367, 0.054511070251464844]",3,"[-15.0, -15.0, -15.0]","[array([15.]), array([15.]), array([15.])]",1e-05
zerosum,Stackelberg,4,3,"[0.08204007148742676, 0.10591316223144531, 0.07965493202209473]",3,"[-20.0, -20.0, -20.0]","[array([20.]), array([20.]), array([20.])]",1e-05
zerosum,Stackelberg,5,3,"[0.09930896759033203, 0.10081267356872559, 0.10014009475708008]",3,"[-25.0, -25.0, -25.0]","[array([25.]), array([25.]), array([25.])]",1e-05
