horizon,gametype,SOTA,iterations,time,number_of_beliefs,leader values,follower values,density
1,cooperative,Stackelberg,1,0.026595115661621094,9,5.0,[ 5.   0.5  0.5 -3. ],0.2
1,cooperative,State of the Art,1,0.00021076202392578125,9,5.0,[ 5.   0.5  0.5 -3. ],0.2
1,cooperative,Stackelberg,2,0.025229930877685547,9,5.0,[ 5.   0.5  0.5 -3. ],0.04
1,cooperative,State of the Art,2,0.00019979476928710938,9,5.0,[ 5.   0.5  0.5 -3. ],0.04
1,cooperative,Stackelberg,3,0.018735170364379883,9,5.0,[ 5.   0.5  0.5 -3. ],0.008
1,cooperative,State of the Art,3,0.00020503997802734375,9,5.0,[ 5.   0.5  0.5 -3. ],0.008
1,zerosum,Stackelberg,1,0.017312049865722656,9,2.0,[-2.    1.6   0.4   3.88],0.2
1,zerosum,State of the Art,1,0.02125382423400879,9,2.0,[-2.    1.6   0.4   3.88],0.2
1,zerosum,Stackelberg,2,0.015101194381713867,9,2.0,[-2.    1.6   0.4   3.88],0.04
1,zerosum,State of the Art,2,0.021451711654663086,9,2.0,[-2.    1.6   0.4   3.88],0.04
1,zerosum,Stackelberg,3,0.01616191864013672,9,2.0,[-2.    1.6   0.4   3.88],0.008
1,zerosum,State of the Art,3,0.020853042602539062,9,2.0,[-2.    1.6   0.4   3.88],0.008
1,generalsum,Stackelberg,1,0.01594710350036621,9,2.6666666666666665,[-0.33333333  1.          3.33333333  3.        ],0.2
1,generalsum,State of the Art,1,0.018238067626953125,9,2.6666666666666665,[-0.33333333  1.          3.33333333  3.        ],0.2
1,generalsum,Stackelberg,2,0.01833319664001465,9,2.6666666666666665,[-0.33333333  1.          3.33333333  3.        ],0.04
1,generalsum,State of the Art,2,0.01641106605529785,9,2.6666666666666665,[-0.33333333  1.          3.33333333  3.        ],0.04
1,generalsum,Stackelberg,3,0.019443988800048828,9,2.6666666666666665,[-0.33333333  1.          3.33333333  3.        ],0.008
1,generalsum,State of the Art,3,0.01756596565246582,9,2.6666666666666665,[-0.33333333  1.          3.33333333  3.        ],0.008
2,cooperative,Stackelberg,1,0.18159198760986328,16,6.7,[ 6.7  0.5  0.5 -3. ],0.2
2,cooperative,State of the Art,1,0.004238128662109375,16,6.7,[ 6.7  0.5  0.5 -3. ],0.2
2,cooperative,Stackelberg,2,0.19573712348937988,23,6.7,[ 6.7  0.5  0.5 -3. ],0.04
2,cooperative,State of the Art,2,0.00418400764465332,23,6.7,[ 6.7  0.5  0.5 -3. ],0.04
2,cooperative,Stackelberg,3,0.18710708618164062,23,6.7,[ 6.7  0.5  0.5 -3. ],0.008
2,cooperative,State of the Art,3,0.004395961761474609,23,6.7,[ 6.7  0.5  0.5 -3. ],0.008
2,zerosum,Stackelberg,1,0.17744684219360352,16,2.398244213886672,[-2.39824421  0.85335196  1.32442139  3.76266959],0.2
2,zerosum,State of the Art,1,0.242218017578125,16,2.398244213886672,[-2.39824421  0.85335196  0.08000798  3.76266959],0.2
2,zerosum,Stackelberg,2,0.23900580406188965,23,2.398244213886672,[-2.39824421  0.85335196  1.32442139  3.76266959],0.04
2,zerosum,State of the Art,2,0.22858500480651855,23,2.398244213886672,[-2.39824421  0.85335196  0.08000798  3.76266959],0.04
2,zerosum,Stackelberg,3,0.212615966796875,23,2.398244213886672,[-2.39824421  0.85335196  1.32442139  3.76266959],0.008
2,zerosum,State of the Art,3,0.22024798393249512,23,2.398244213886672,[-2.39824421  0.85335196  0.08000798  3.76266959],0.008
2,generalsum,Stackelberg,1,0.18041014671325684,16,3.4969956280373715,[1.1680136  0.9191191  3.31985318 2.95955955],0.2
2,generalsum,State of the Art,1,0.19560909271240234,16,3.4969956280373715,[1.1680136  0.9191191  3.31985318 2.95955955],0.2
2,generalsum,Stackelberg,2,0.21150994300842285,23,2.8544808949194285,[ 2.36776582 -0.63451688  3.06091385  2.18274156],0.04
2,generalsum,State of the Art,2,0.21876001358032227,23,2.8544808949194285,[ 2.36776582 -0.63451688  3.06091385  2.18274156],0.04
2,generalsum,Stackelberg,3,0.22352385520935059,23,2.8544808949194285,[ 2.36776582 -0.63451688  3.06091385  2.18274156],0.008
2,generalsum,State of the Art,3,0.21410584449768066,23,2.8544808949194285,[ 2.36776582 -0.63451688  3.06091385  2.18274156],0.008
