gametype,SOTA,horizon,iterations,time,number_of_beliefs,leader values,follower values,density
cooperative,Stackelberg,1,3,"[0.07753396034240723, 0.07272100448608398, 0.08957219123840332]",27,"[5.0, 5.0, 5.0]","[array([ 5. ,  0.5,  0.5, -3. ]), array([ 5. ,  0.5,  0.5, -3. ]), array([ 5. ,  0.5,  0.5, -3. ])]",1e-06
cooperative,Stackelberg,2,3,"[0.497283935546875, 0.44421911239624023, 0.4711461067199707]",27,"[9.0, 9.0, 9.0]","[array([ 9. ,  0.5,  0.5, -3. ]), array([ 9. ,  0.5,  0.5, -3. ]), array([ 9. ,  0.5,  0.5, -3. ])]",1e-06
cooperative,State of the Art,1,3,"[0.060329437255859375, 0.04805397987365723, 0.04806780815124512]",27,"[5.0, 5.0, 5.0]","[array([ 5. ,  0.5,  0.5, -3. ]), array([ 5. ,  0.5,  0.5, -3. ]), array([ 5. ,  0.5,  0.5, -3. ])]",1e-06
cooperative,State of the Art,2,3,"[0.22651004791259766, 0.19842100143432617, 0.2647709846496582]",27,"[9.0, 9.0, 9.0]","[array([ 9. ,  0.5,  0.5, -3. ]), array([ 9. ,  0.5,  0.5, -3. ]), array([ 9. ,  0.5,  0.5, -3. ])]",1e-06
zerosum,Stackelberg,1,3,"[0.0821390151977539, 0.07415199279785156, 0.07871794700622559]",27,"[2.0, 2.0, 2.0]","[array([-2.  ,  1.6 ,  0.4 ,  3.88]), array([-2.  ,  1.6 ,  0.4 ,  3.88]), array([-2.  ,  1.6 ,  0.4 ,  3.88])]",1e-06
zerosum,Stackelberg,2,3,"[0.5076930522918701, 0.4763641357421875, 0.46684694290161133]",27,"[4.0, 4.0, 4.0]","[array([-4.  ,  1.6 ,  0.4 ,  3.88]), array([-4.  ,  1.6 ,  0.4 ,  3.88]), array([-4.  ,  1.6 ,  0.4 ,  3.88])]",1e-06
zerosum,State of the Art,1,3,"[0.07977008819580078, 0.08054804801940918, 0.0918729305267334]",27,"[2.0, 2.0, 2.0]","[array([-2.  ,  1.6 ,  0.4 ,  3.88]), array([-2.  ,  1.6 ,  0.4 ,  3.88]), array([-2.  ,  1.6 ,  0.4 ,  3.88])]",1e-06
zerosum,State of the Art,2,3,"[0.5159828662872314, 0.5484769344329834, 0.5254068374633789]",27,"[4.0, 4.0, 4.0]","[array([-4.  ,  1.6 ,  0.4 ,  3.88]), array([-4.  ,  1.6 ,  0.4 ,  3.88]), array([-4.  ,  1.6 ,  0.4 ,  3.88])]",1e-06
stackelberg,Stackelberg,1,3,"[0.07865118980407715, 0.07570886611938477, 0.09608078002929688]",27,"[2.6666666666666665, 2.6666666666666665, 2.6666666666666665]","[array([-0.33333333,  1.        ,  3.33333333,  3.        ]), array([-0.33333333,  1.        ,  3.33333333,  3.        ]), array([-0.33333333,  1.        ,  3.33333333,  3.        ])]",1e-06
stackelberg,Stackelberg,2,3,"[0.5308239459991455, 0.5305461883544922, 0.5596780776977539]",27,"[6.999999214291314, 6.999999214291314, 6.999999214291314]","[array([ 0.99999944, -1.        ,  3.        ,  2.        ]), array([ 0.99999944, -1.        ,  3.        ,  2.        ]), array([ 0.99999944, -1.        ,  3.        ,  2.        ])]",1e-06
stackelberg,State of the Art,1,3,"[0.07829880714416504, 0.08330273628234863, 0.09975600242614746]",27,"[2.6666666666666665, 2.6666666666666665, 2.6666666666666665]","[array([-0.33333333,  1.        ,  3.33333333,  3.        ]), array([-0.33333333,  1.        ,  3.33333333,  3.        ]), array([-0.33333333,  1.        ,  3.33333333,  3.        ])]",1e-06
stackelberg,State of the Art,2,3,"[0.5753810405731201, 0.4965388774871826, 0.4795341491699219]",27,"[6.999999214291314, 6.999999214291314, 6.999999214291314]","[array([ 0.99999944, -1.        ,  3.        ,  2.        ]), array([ 0.99999944, -1.        ,  3.        ,  2.        ]), array([ 0.99999944, -1.        ,  3.        ,  2.        ])]",1e-06
