gametype,SOTA,horizon,iterations,time,number_of_beliefs,leader values,follower values,density
cooperative,Stackelberg,1,3,"[0.06990218162536621, 0.037188053131103516, 0.03272700309753418]","[10, 12, 18]","[-1.0, -1.0, -1.0]","[array([-1., -1., -1., -1.]), array([-1., -1., -1., -1.]), array([-1., -1., -1., -1.])]",[3.00000e-01 1.50005e-01 1.00000e-05]
cooperative,Stackelberg,2,3,"[0.1258230209350586, 0.13175225257873535, 0.1844310760498047]","[12, 18, 61]","[-2.0, -2.0, -2.0]","[array([-2., -2., -2., -2.]), array([-2., -2., -2., -2.]), array([-2., -2., -2., -2.])]",[3.00000e-01 1.50005e-01 1.00000e-05]
cooperative,Stackelberg,3,3,"[0.3829162120819092, 0.44094276428222656, 1.1921861171722412]","[13, 31, 310]","[-3.0, -3.0, -3.0]","[array([38.31, -3.  , -3.  , -3.  ]), array([38.31, -3.  , -3.  , -3.  ]), array([38.31, -3.  , -3.  , -3.  ])]",[3.00000e-01 1.50005e-01 1.00000e-05]
cooperative,State of the Art,1,3,"[0.00860905647277832, 0.0074541568756103516, 0.007748126983642578]","[10, 12, 18]","[-1.0, -1.0, -1.0]","[array([-1., -1., -1., -1.]), array([-1., -1., -1., -1.]), array([-1., -1., -1., -1.])]",[3.00000e-01 1.50005e-01 1.00000e-05]
cooperative,State of the Art,2,3,"[0.0242769718170166, 0.03341197967529297, 0.06826591491699219]","[12, 18, 61]","[-2.0, -2.0, -2.0]","[array([-2., -2., -2., -2.]), array([-2., -2., -2., -2.]), array([-2., -2., -2., -2.])]",[3.00000e-01 1.50005e-01 1.00000e-05]
cooperative,State of the Art,3,3,"[0.05533313751220703, 0.0866239070892334, 0.6365888118743896]","[13, 31, 310]","[-3.0, -3.0, -3.0]","[array([38.31, -3.  , -3.  , -3.  ]), array([38.31, -3.  , -3.  , -3.  ]), array([38.31, -3.  , -3.  , -3.  ])]",[3.00000e-01 1.50005e-01 1.00000e-05]
zerosum,Stackelberg,1,3,"[0.028162002563476562, 0.027865171432495117, 0.02838301658630371]","[10, 12, 18]","[-50.0, -50.0, -50.0]","[array([50., 50., 50., 50.]), array([50., 50., 50., 50.]), array([50., 50., 50., 50.])]",[3.00000e-01 1.50005e-01 1.00000e-05]
zerosum,Stackelberg,2,3,"[0.1273658275604248, 0.13504409790039062, 0.18086886405944824]","[12, 18, 61]","[-100.0, -100.0, -100.0]","[array([100., 100., 100., 100.]), array([100., 100., 100., 100.]), array([100., 100., 100., 100.])]",[3.00000e-01 1.50005e-01 1.00000e-05]
zerosum,Stackelberg,3,3,"[0.36768102645874023, 0.4330270290374756, 1.0751450061798096]","[13, 31, 310]","[-150.0, -150.0, -150.0]","[array([150., 150., 150., 150.]), array([150., 150., 150., 150.]), array([150., 150., 150., 150.])]",[3.00000e-01 1.50005e-01 1.00000e-05]
zerosum,State of the Art,1,3,"[0.030418872833251953, 0.03047013282775879, 0.053275108337402344]","[10, 12, 18]","[-50.0, -50.0, -50.0]","[array([ 1.,  1.,  1., 50.]), array([ 1.,  1.,  1., 50.]), array([ 1.,  1.,  1., 50.])]",[3.00000e-01 1.50005e-01 1.00000e-05]
zerosum,State of the Art,2,3,"[0.1375880241394043, 0.1350877285003662, 0.18566513061523438]","[12, 18, 61]","[-100.0, -100.0, -100.0]","[array([  2.,  51.,   2., 100.]), array([  2.,  51.,   2., 100.]), array([  2.,  51.,   2., 100.])]",[3.00000e-01 1.50005e-01 1.00000e-05]
zerosum,State of the Art,3,3,"[0.35751819610595703, 0.41091418266296387, 1.108114242553711]","[13, 31, 310]","[-150.0, -150.0, -150.0]","[array([ 17.50268456,  96.1       ,   7.9       , 150.        ]), array([ 19.11409396, 101.        ,  52.        , 150.        ]), array([  3., 101.,   3., 150.])]",[3.00000e-01 1.50005e-01 1.00000e-05]
stackelberg,Stackelberg,1,3,"[0.027871370315551758, 0.03116917610168457, 0.03181314468383789]","[10, 12, 18]","[-1.0, -1.0, -1.0]","[array([25.5 ,  9.5 , 19.  , 35.75]), array([25.5 ,  9.5 , 19.  , 35.75]), array([25.5 ,  9.5 , 19.  , 35.75])]",[3.00000e-01 1.50005e-01 1.00000e-05]
stackelberg,Stackelberg,2,3,"[0.1330721378326416, 0.1363239288330078, 0.2182457447052002]","[12, 18, 61]","[-2.0, -2.0, -2.0]","[array([69.5 , -9.5 , 55.  , 79.75]), array([69.5 , -9.5 , 55.  , 79.75]), array([69.5 , -9.5 , 55.  , 79.75])]",[3.00000e-01 1.50005e-01 1.00000e-05]
stackelberg,Stackelberg,3,3,"[0.3601241111755371, 0.41451597213745117, 1.1148951053619385]","[13, 31, 310]","[-3.0, -3.0, -3.0]","[array([108.5 ,  15.5 , 101.  , 101.75]), array([108.5 ,  15.5 , 101.  , 101.75]), array([108.5 ,  15.5 , 101.  , 101.75])]",[3.00000e-01 1.50005e-01 1.00000e-05]
stackelberg,State of the Art,1,3,"[0.030060768127441406, 0.028162002563476562, 0.0304410457611084]","[10, 12, 18]","[-1.0, -1.0, -1.0]","[array([25.5 ,  9.5 , 19.  , 35.75]), array([25.5 ,  9.5 , 19.  , 35.75]), array([25.5 ,  9.5 , 19.  , 35.75])]",[3.00000e-01 1.50005e-01 1.00000e-05]
stackelberg,State of the Art,2,3,"[0.130507230758667, 0.13602805137634277, 0.17604303359985352]","[12, 18, 61]","[-2.0, -2.0, -2.0]","[array([69.5 , -9.5 , 55.  , 79.75]), array([69.5 , -9.5 , 55.  , 79.75]), array([69.5 , -9.5 , 55.  , 79.75])]",[3.00000e-01 1.50005e-01 1.00000e-05]
stackelberg,State of the Art,3,3,"[0.3774862289428711, 0.4353032112121582, 1.0876221656799316]","[13, 31, 310]","[-3.0, -3.0, -3.0]","[array([108.5 ,  15.5 , 101.  , 101.75]), array([108.5 ,  15.5 , 101.  , 101.75]), array([108.5 ,  15.5 , 101.  , 101.75])]",[3.00000e-01 1.50005e-01 1.00000e-05]
