horizon,gametype,SOTA,iterations,time,number_of_beliefs,leader values,follower values,density
1,cooperative,Stackelberg,1,0.02759385108947754,14,-1.0,[-1. -1. -1. -1.],0.008
1,cooperative,State of the Art,1,0.0002110004425048828,14,-1.0,[-1. -1. -1. -1.],0.008
1,cooperative,Stackelberg,2,0.01674795150756836,17,-1.0,[-1. -1. -1. -1.],0.2
1,cooperative,State of the Art,2,0.00019288063049316406,17,-1.0,[-1. -1. -1. -1.],0.2
1,cooperative,Stackelberg,3,0.018865108489990234,21,-1.0,[-1. -1. -1. -1.],0.04
1,cooperative,State of the Art,3,0.00019478797912597656,21,-1.0,[-1. -1. -1. -1.],0.04
1,zerosum,Stackelberg,1,0.017659902572631836,14,-50.0,[50. 50. 50. 50.],0.008
1,zerosum,State of the Art,1,0.020750045776367188,14,-50.0,[ 1.  1.  1. 50.],0.008
1,zerosum,Stackelberg,2,0.018513917922973633,20,-50.0,[50. 50. 50. 50.],0.2
1,zerosum,State of the Art,2,0.018703937530517578,20,-50.0,[ 1.  1.  1. 50.],0.2
1,zerosum,Stackelberg,3,0.01764202117919922,22,-50.0,[50. 50. 50. 50.],0.04
1,zerosum,State of the Art,3,0.019860029220581055,22,-50.0,[ 1.  1.  1. 50.],0.04
1,generalsum,Stackelberg,1,0.019085168838500977,14,-1.0,[ 44. -19.  36.  44.],0.008
1,generalsum,State of the Art,1,0.02101588249206543,14,-1.0,[ 44. -19.  36.  44.],0.008
1,generalsum,Stackelberg,2,0.017514944076538086,19,-1.0,[ 44. -19.  36.  44.],0.2
1,generalsum,State of the Art,2,0.016863107681274414,19,-1.0,[ 44. -19.  36.  44.],0.2
1,generalsum,Stackelberg,3,0.017080068588256836,22,-1.0,[ 44. -19.  36.  44.],0.04
1,generalsum,State of the Art,3,0.018567800521850586,22,-1.0,[ 44. -19.  36.  44.],0.04
2,cooperative,Stackelberg,1,0.09515523910522461,14,-2.0,[-2. -2. -2. -2.],0.008
2,cooperative,State of the Art,1,0.0024230480194091797,14,-2.0,[-2. -2. -2. -2.],0.008
2,cooperative,Stackelberg,2,0.10145807266235352,18,-2.0,[-2. -2. -2. -2.],0.2
