gametype,SOTA,horizon,iterations,time,number_of_beliefs,leader values,follower values,density
cooperative,Stackelberg,1,2,"[0.17641353607177734, 0.0692286491394043]",2,"[0.0, 0.0]","[array([ 0., -1., -2., -3., -1., -2., -3., -4., -2., -3., -4., -5., -3.,
       -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3., -4., -2., -3.,
       -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3.,
       -4., -2., -3., -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3.,
       -1., -2., -3., -4., -2., -3., -4., -5., -3., -4., -5., -6.]), array([ 0., -1., -2., -3., -1., -2., -3., -4., -2., -3., -4., -5., -3.,
       -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3., -4., -2., -3.,
       -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3.,
       -4., -2., -3., -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3.,
       -1., -2., -3., -4., -2., -3., -4., -5., -3., -4., -5., -6.])]",0.05
cooperative,Stackelberg,2,2,"[15.355767726898193, 15.501668691635132]",3,"[0.0, 0.0]","[array([ 0., -1., -2., -3., -1., -2., -3., -4., -2., -3., -4., -5., -3.,
       -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3., -4., -2., -3.,
       -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3.,
       -4., -2., -3., -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3.,
       -1., -2., -3., -4., -2., -3., -4., -5., -3., -4., -5., -6.]), array([ 0., -1., -2., -3., -1., -2., -3., -4., -2., -3., -4., -5., -3.,
       -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3., -4., -2., -3.,
       -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3.,
       -4., -2., -3., -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3.,
       -1., -2., -3., -4., -2., -3., -4., -5., -3., -4., -5., -6.])]",0.05
cooperative,Stackelberg,3,2,"[76.9115903377533, 76.3368022441864]",11,"[0.0, 0.0]","[array([ 0., -1., -2., -3., -1., -2., -3., -4., -2., -3., -4., -5., -3.,
       -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3., -4., -2., -3.,
       -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3.,
       -4., -2., -3., -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3.,
       -1., -2., -3., -4., -2., -3., -4., -5., -3., -4., -5., -6.]), array([ 0., -1., -2., -3., -1., -2., -3., -4., -2., -3., -4., -5., -3.,
       -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3., -4., -2., -3.,
       -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3.,
       -4., -2., -3., -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3.,
       -1., -2., -3., -4., -2., -3., -4., -5., -3., -4., -5., -6.])]",0.05
cooperative,Stackelberg,4,2,"[406.1343104839325, 404.99600887298584]",18,"[0.0, 0.0]","[array([ 0., -1., -2., -3., -1., -2., -3., -4., -2., -3., -4., -5., -3.,
       -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3., -4., -2., -3.,
       -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3.,
       -4., -2., -3., -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3.,
       -1., -2., -3., -4., -2., -3., -4., -5., -3., -4., -5., -6.]), array([ 0., -1., -2., -3., -1., -2., -3., -4., -2., -3., -4., -5., -3.,
       -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3., -4., -2., -3.,
       -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3.,
       -4., -2., -3., -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3.,
       -1., -2., -3., -4., -2., -3., -4., -5., -3., -4., -5., -6.])]",0.05
cooperative,Stackelberg,5,2,"[904.0559270381927, 902.9913845062256]",18,"[0.0, 0.0]","[array([ 0., -1., -2., -3., -1., -2., -3., -4., -2., -3., -4., -5., -3.,
       -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3., -4., -2., -3.,
       -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3.,
       -4., -2., -3., -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3.,
       -1., -2., -3., -4., -2., -3., -4., -5., -3., -4., -5., -6.]), array([ 0., -1., -2., -3., -1., -2., -3., -4., -2., -3., -4., -5., -3.,
       -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3., -4., -2., -3.,
       -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3.,
       -4., -2., -3., -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3.,
       -1., -2., -3., -4., -2., -3., -4., -5., -3., -4., -5., -6.])]",0.05
cooperative,State of the Art,1,2,"[0.0019898414611816406, 0.0018253326416015625]",2,"[0.0, 0.0]","[array([ 0., -1., -2., -3., -1., -2., -3., -4., -2., -3., -4., -5., -3.,
       -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3., -4., -2., -3.,
       -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3.,
       -4., -2., -3., -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3.,
       -1., -2., -3., -4., -2., -3., -4., -5., -3., -4., -5., -6.]), array([ 0., -1., -2., -3., -1., -2., -3., -4., -2., -3., -4., -5., -3.,
       -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3., -4., -2., -3.,
       -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3.,
       -4., -2., -3., -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3.,
       -1., -2., -3., -4., -2., -3., -4., -5., -3., -4., -5., -6.])]",0.05
cooperative,State of the Art,2,2,"[8.105898380279541, 8.026540279388428]",3,"[0.0, 0.0]","[array([ 0., -1., -2., -3., -1., -2., -3., -4., -2., -3., -4., -5., -3.,
       -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3., -4., -2., -3.,
       -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3.,
       -4., -2., -3., -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3.,
       -1., -2., -3., -4., -2., -3., -4., -5., -3., -4., -5., -6.]), array([ 0., -1., -2., -3., -1., -2., -3., -4., -2., -3., -4., -5., -3.,
       -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3., -4., -2., -3.,
       -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3.,
       -4., -2., -3., -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3.,
       -1., -2., -3., -4., -2., -3., -4., -5., -3., -4., -5., -6.])]",0.05
cooperative,State of the Art,3,2,"[39.804567098617554, 38.8724901676178]",11,"[0.0, 0.0]","[array([ 0., -1., -2., -3., -1., -2., -3., -4., -2., -3., -4., -5., -3.,
       -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3., -4., -2., -3.,
       -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3.,
       -4., -2., -3., -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3.,
       -1., -2., -3., -4., -2., -3., -4., -5., -3., -4., -5., -6.]), array([ 0., -1., -2., -3., -1., -2., -3., -4., -2., -3., -4., -5., -3.,
       -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3., -4., -2., -3.,
       -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3.,
       -4., -2., -3., -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3.,
       -1., -2., -3., -4., -2., -3., -4., -5., -3., -4., -5., -6.])]",0.05
cooperative,State of the Art,4,2,"[202.338134765625, 201.5574734210968]",18,"[0.0, 0.0]","[array([ 0., -1., -2., -3., -1., -2., -3., -4., -2., -3., -4., -5., -3.,
       -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3., -4., -2., -3.,
       -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3.,
       -4., -2., -3., -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3.,
       -1., -2., -3., -4., -2., -3., -4., -5., -3., -4., -5., -6.]), array([ 0., -1., -2., -3., -1., -2., -3., -4., -2., -3., -4., -5., -3.,
       -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3., -4., -2., -3.,
       -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3.,
       -4., -2., -3., -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3.,
       -1., -2., -3., -4., -2., -3., -4., -5., -3., -4., -5., -6.])]",0.05
cooperative,State of the Art,5,2,"[457.3740346431732, 445.36579179763794]",18,"[0.0, 0.0]","[array([ 0., -1., -2., -3., -1., -2., -3., -4., -2., -3., -4., -5., -3.,
       -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3., -4., -2., -3.,
       -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3.,
       -4., -2., -3., -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3.,
       -1., -2., -3., -4., -2., -3., -4., -5., -3., -4., -5., -6.]), array([ 0., -1., -2., -3., -1., -2., -3., -4., -2., -3., -4., -5., -3.,
       -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3., -4., -2., -3.,
       -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3., -1., -2., -3.,
       -4., -2., -3., -4., -5., -3., -4., -5., -6.,  0., -1., -2., -3.,
       -1., -2., -3., -4., -2., -3., -4., -5., -3., -4., -5., -6.])]",0.05
